iter	Logloss
0	0.6840000892
1	0.6761480565
2	0.6681643884
3	0.6611545629
4	0.6547294964
5	0.6485917521
6	0.6436921339
7	0.6392947781
8	0.6346369084
9	0.6303363174
10	0.6267291843
11	0.6227751852
12	0.6192202116
13	0.6163189041
14	0.6133607557
15	0.6103004568
16	0.6075903305
17	0.605065679
18	0.6029065151
19	0.6004771109
20	0.5983493452
21	0.5961250203
22	0.5940933594
23	0.5923846782
24	0.5906281922
25	0.5890919169
26	0.5874741241
27	0.5856550287
28	0.5842529072
29	0.5828595146
30	0.5814323766
31	0.5802135378
32	0.5788930986
33	0.5776334438
34	0.5764066537
35	0.5751149571
36	0.5737736711
37	0.5723980676
38	0.5713733454
39	0.5703816639
40	0.5693449676
41	0.5684244666
42	0.5673308873
43	0.5662380451
44	0.5652510766
45	0.5642628113
46	0.5633431707
47	0.562542507
48	0.5615819194
49	0.5607238331
50	0.5599132571
51	0.5588931464
52	0.5580247471
53	0.5572997979
54	0.5566285064
55	0.555889624
56	0.5551589763
57	0.5545067415
58	0.55386649
59	0.5533059093
60	0.5527244935
61	0.5522074363
62	0.5516693139
63	0.551108423
64	0.5504589042
65	0.5499440601
66	0.5493970088
67	0.5487091638
68	0.5481332868
69	0.5476517586
70	0.547134015
71	0.5466409534
72	0.5461138139
73	0.5457261917
74	0.5452693744
75	0.5447289352
76	0.5442515756
77	0.5438148613
78	0.5433814238
79	0.5428962626
80	0.5425021767
81	0.5421127037
82	0.541642772
83	0.5411877716
84	0.5408385046
85	0.5404598915
86	0.5401250582
87	0.5397292167
88	0.5393961074
89	0.5389949043
90	0.5386191088
91	0.5383233382
92	0.5379124927
93	0.5375180286
94	0.5371612193
95	0.5367431246
96	0.5363932324
97	0.5361295298
98	0.5358718824
99	0.5354695118
100	0.5351921268
101	0.5348309646
102	0.5345659397
103	0.5343371419
104	0.534065894
105	0.5338058541
106	0.5336220878
107	0.5333725076
108	0.5330561889
109	0.5328263438
110	0.5325628028
111	0.5323061098
112	0.5320976649
113	0.5318703207
114	0.5316217348
115	0.5313858913
116	0.5311997163
117	0.5309211644
118	0.5306432838
119	0.5304015486
120	0.5301388018
121	0.529974048
122	0.5298059267
123	0.5296225563
124	0.5293495477
125	0.5292077227
126	0.52886405
127	0.5286978558
128	0.5283966947
129	0.5282197162
130	0.5280559757
131	0.5278969904
132	0.5276074787
133	0.5273524512
134	0.5271485459
135	0.5269424571
136	0.5267793024
137	0.5265815451
138	0.5264408364
139	0.5262629587
140	0.5261008426
141	0.5258760112
142	0.5257260036
143	0.5255097082
144	0.5253551906
145	0.525174641
146	0.5250315623
147	0.5247575226
148	0.5246036698
149	0.5244233609
150	0.524245787
151	0.5241509851
152	0.5239571529
153	0.5237835793
154	0.5235940126
155	0.5233830143
156	0.5232475012
157	0.5230719568
158	0.5229431857
159	0.5228268751
160	0.5226013148
161	0.5224370458
162	0.5222786244
163	0.5220584916
164	0.5218964514
165	0.5217103417
166	0.5215653097
167	0.5213611833
168	0.5212120523
169	0.5211036921
170	0.5209814105
171	0.5208761292
172	0.5206513019
173	0.5204706617
174	0.5203342431
175	0.5201334396
176	0.519944962
177	0.5198475306
178	0.5197403692
179	0.5196463703
180	0.5195209474
181	0.5194008099
182	0.5192759707
183	0.5191376498
184	0.519008929
