iter	Passed	Remaining
0	120	119960
1	195	97474
2	254	84737
3	321	80016
4	388	77266
5	454	75322
6	513	72902
7	579	71842
8	648	71435
9	714	70777
10	774	69677
11	839	69113
12	901	68453
13	957	67441
14	1020	67016
15	1084	66667
16	1149	66441
17	1207	65902
18	1271	65636
19	1327	65066
20	1393	64958
21	1458	64857
22	1516	64422
23	1579	64214
24	1645	64166
25	1711	64107
26	1773	63908
27	1842	63964
28	1908	63906
29	1973	63806
30	2031	63516
31	2089	63215
32	2149	62974
33	2207	62726
34	2273	62684
35	2331	62425
36	2395	62351
37	2460	62287
38	2523	62190
39	2588	62130
40	2646	61904
41	2711	61851
42	2775	61763
43	2840	61713
44	2905	61667
45	2969	61578
46	3031	61458
47	3095	61388
48	3154	61225
49	3213	61051
50	3270	60848
51	3328	60675
52	3386	60508
53	3454	60524
54	3520	60486
55	3584	60430
56	3647	60347
57	3711	60271
58	3775	60212
59	3840	60166
60	3905	60117
61	3961	59938
62	4019	59784
63	4080	59672
64	4145	59631
65	4207	59541
66	4266	59415
67	4331	59373
68	4395	59309
69	4458	59231
70	4516	59097
71	4579	59027
72	4643	58970
73	4713	58982
74	4782	58981
75	4846	58921
76	4911	58875
77	4972	58779
78	5038	58738
79	5097	58625
80	5157	58512
81	5222	58465
82	5285	58400
83	5350	58344
84	5411	58253
85	5478	58220
86	5549	58239
87	5612	58166
88	5676	58105
89	5741	58056
90	5801	57949
91	5863	57874
92	5924	57777
93	5983	57672
94	6049	57629
95	6113	57572
96	6176	57495
97	6238	57417
98	6298	57320
99	6365	57293
100	6427	57213
101	6492	57162
102	6556	57102
103	6616	57003
104	6680	56946
105	6745	56887
106	6802	56769
107	6866	56709
108	6930	56655
109	6989	56552
110	7051	56475
111	7113	56398
112	7178	56347
113	7239	56263
114	7294	56137
115	7360	56090
116	7421	56009
117	7481	55920
118	7542	55841
119	7603	55760
120	7667	55700
121	7731	55642
122	7788	55529
123	7845	55422
124	7910	55374
125	7975	55321
126	8033	55225
127	8094	55145
128	8158	55085
129	8224	55037
130	8289	54987
131	8351	54917
132	8412	54841
133	8471	54749
134	8529	54652
135	8588	54564
136	8649	54488
137	8711	54412
138	8770	54324
139	8827	54228
140	8886	54137
141	8945	54049
142	9006	53976
143	9073	53935
144	9134	53863
145	9191	53764
146	9255	53708
147	9311	53601
148	9376	53555
149	9437	53479
150	9502	53426
151	9567	53379
152	9628	53302
153	9692	53247
154	9756	53188
155	9818	53120
156	9879	53048
157	9941	52978
158	10001	52900
159	10061	52824
160	10125	52767
161	10182	52674
162	10243	52599
163	10310	52557
164	10370	52479
165	10430	52403
166	10492	52334
167	10556	52281
168	10625	52245
169	10694	52216
170	10751	52122
171	10815	52065
172	10881	52018
173	10948	51974
174	11013	51920
175	11074	51848
176	11140	51798
177	11205	51746
178	11300	51829
179	11383	51858
180	11469	51898
181	11586	52076
182	11667	52089
183	11728	52013
184	11796	51969
185	11881	51998
186	11964	52018
187	12051	52051
188	12127	52039
189	12194	51986
190	12253	51899
191	12319	51842
192	12384	51783
193	12443	51698
194	12508	51637
195	12573	51575
196	12637	51511
197	12701	51448
198	12766	51388
199	12827	51311
200	12892	51250
201	12959	51196
202	13025	51139
203	13090	51078
204	13147	50988
205	13213	50928
206	13279	50870
207	13320	50721
208	13376	50626
209	13436	50545
210	13503	50493
211	13558	50396
212	13622	50333
213	13689	50279
214	13752	50211
215	13815	50144
216	13879	50082
217	13944	50022
218	14004	49943
219	14069	49884
220	14134	49823
221	14195	49747
222	14255	49672
223	14312	49581
224	14374	49512
225	14436	49443
226	14494	49357
227	14555	49286
228	14617	49215
229	14679	49145
230	14738	49064
231	14799	48990
232	14858	48911
233	14921	48844
234	14984	48779
235	15043	48699
236	15106	48633
237	15165	48555
238	15230	48496
239	15291	48423
240	15356	48364
241	15420	48301
242	15485	48241
243	15548	48173
244	15606	48093
245	15667	48022
246	15726	47944
247	15786	47870
248	15851	47808
249	15912	47737
250	15969	47654
251	16031	47586
252	16095	47522
253	16157	47454
254	16227	47408
255	16311	47405
256	16381	47359
257	16450	47310
258	16522	47271
259	16590	47220
260	16655	47157
261	16724	47109
262	16798	47075
263	16856	46993
264	16925	46943
265	16986	46873
266	17047	46800
267	17112	46741
268	17175	46674
269	17232	46591
270	17294	46522
271	17349	46436
272	17407	46355
273	17471	46293
274	17537	46235
275	17604	46180
276	17664	46107
277	17725	46034
278	17790	45975
279	17856	45916
280	17919	45851
281	17984	45789
282	18039	45705
283	18100	45633
284	18164	45570
285	18221	45490
286	18287	45431
287	18347	45359
288	18408	45289
289	18473	45229
290	18540	45171
291	18603	45108
292	18662	45031
293	18727	44972
294	18794	44914
295	18854	44844
296	18919	44782
297	18985	44723
298	19040	44640
299	19101	44571
300	19168	44514
301	19233	44453
302	19289	44372
303	19350	44303
304	19435	44286
305	19500	44227
306	19589	44219
307	19664	44182
308	19722	44104
309	19787	44043
310	19853	43983
311	19911	43906
312	19979	43853
313	20046	43795
314	20113	43738
315	20179	43679
316	20244	43617
317	20307	43553
318	20380	43509
319	20457	43472
320	20518	43401
321	20587	43349
322	20653	43290
323	20717	43225
324	20853	43311
325	20916	43244
326	20984	43188
327	21057	43142
328	21122	43080
329	21190	43023
330	21261	42971
331	21332	42922
332	21400	42866
333	21464	42800
334	21519	42718
335	21586	42659
336	21644	42581
337	21713	42527
338	21777	42463
339	21846	42408
340	21915	42352
341	21979	42288
342	22044	42224
343	22109	42161
344	22181	42112
345	22246	42049
346	22317	41998
347	22388	41946
348	22455	41887
349	22523	41830
350	22587	41763
351	22654	41704
352	22718	41639
353	22783	41576
354	22843	41505
355	22906	41438
356	22969	41370
357	23033	41305
358	23121	41283
359	23181	41211
360	23240	41137
361	23304	41073
362	23367	41005
363	23426	40932
364	23494	40873
365	23557	40807
366	23629	40755
367	23688	40682
368	23749	40612
369	23808	40538
370	23862	40457
371	23930	40398
372	23994	40334
373	24062	40275
374	24136	40227
375	24206	40172
376	24278	40119
377	24342	40055
378	24404	39986
379	24468	39921
380	24535	39861
381	24605	39806
382	24667	39738
383	24731	39673
384	24799	39614
385	24866	39553
386	24935	39497
387	24998	39431
388	25067	39372
389	25128	39303
390	25194	39241
391	25260	39179
392	25339	39138
393	25404	39073
394	25472	39014
395	25531	38942
396	25591	38870
397	25654	38803
398	25711	38727
399	25774	38661
400	25836	38594
401	25917	38553
402	25989	38501
403	26054	38437
404	26119	38372
405	26183	38307
406	26246	38240
407	26308	38173
408	26378	38116
409	26438	38045
410	26500	37977
411	26567	37916
412	26635	37857
413	26705	37800
414	26769	37735
415	26832	37669
416	26906	37617
417	26974	37558
418	27040	37494
419	27110	37438
420	27186	37389
421	27249	37322
422	27310	37253
423	27375	37189
424	27442	37127
425	27510	37068
426	27575	37004
427	27642	36942
428	27711	36884
429	27774	36817
430	27840	36754
431	27906	36691
432	27971	36628
433	28034	36561
434	28096	36493
435	28161	36429
436	28224	36361
437	28285	36292
438	28348	36226
439	28410	36158
440	28474	36092
441	28532	36021
442	28594	35953
443	28661	35890
444	28728	35830
445	28794	35767
446	28868	35713
447	28940	35659
448	29006	35595
449	29074	35535
450	29140	35471
451	29209	35413
452	29276	35351
453	29340	35285
454	29402	35218
455	29468	35154
456	29524	35080
457	29587	35014
458	29656	34954
459	29717	34886
460	29780	34818
461	29841	34750
462	29908	34688
463	29973	34624
464	30038	34560
465	30105	34498
466	30170	34434
467	30234	34369
468	30304	34310
469	30371	34248
470	30440	34189
471	30511	34131
472	30586	34078
473	30654	34017
474	30718	33951
475	30781	33885
476	30842	33817
477	30910	33755
478	30968	33683
479	31026	33611
480	31087	33543
481	31151	33478
482	31216	33413
483	31277	33345
484	31345	33284
485	31404	33213
486	31472	33153
487	31539	33091
488	31601	33023
489	31669	32961
490	31734	32898
491	31798	32832
492	31869	32774
493	31936	32712
494	31998	32644
495	32064	32581
496	32130	32518
497	32195	32453
498	32266	32395
499	32326	32326
500	32393	32264
501	32461	32202
502	32532	32144
503	32602	32084
504	32675	32028
505	32737	31961
506	32800	31894
507	32864	31829
508	32932	31768
509	32998	31704
510	33066	31642
511	33136	31583
512	33208	31525
513	33276	31464
514	33338	31396
515	33399	31328
516	33461	31261
517	33526	31196
518	33584	31125
519	33652	31063
520	33713	30995
521	33774	30927
522	33835	30859
523	33898	30793
524	33973	30737
525	34045	30679
526	34116	30620
527	34187	30561
528	34258	30502
529	34331	30444
530	34408	30391
531	34479	30331
532	34547	30269
533	34616	30207
534	34705	30164
535	34777	30106
536	34846	30044
537	34915	29982
538	34984	29921
539	35048	29856
540	35113	29790
541	35176	29725
542	35250	29667
543	35315	29602
544	35388	29544
545	35460	29485
546	35523	29419
547	35591	29356
548	35656	29291
549	35723	29228
550	35789	29163
551	35863	29106
552	35925	29039
553	35986	28971
554	36051	28905
